
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.41490692939203      eV
 Composition: x =   0.75000000000751965     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  9     70       96           -67812.87207      -61059.13790    0.223200E-02    0.232500E-04
  9     71      192           -67812.88936      -61059.15520    0.871533E-02    0.453923E-04
  9     72       96           -67812.86915      -61059.13499    0.199407E-02    0.207716E-04
  9     73       48           -67812.77518      -61059.04101    0.263018E-04    0.547954E-06
  9     74       96           -67812.80572      -61059.07156    0.171461E-03    0.178605E-05
  9     75       96           -67812.84596      -61059.11180    0.813048E-03    0.846925E-05
  9     76      192           -67812.86070      -61059.12653    0.287574E-02    0.149778E-04
  9     77       96           -67812.85495      -61059.12079    0.115131E-02    0.119928E-04
  9     78       48           -67812.87663      -61059.14246    0.133138E-02    0.277371E-04
  9     79       96           -67812.89835      -61059.16419    0.617015E-02    0.642724E-04
  9     80       32           -67812.80120      -61059.06704    0.479875E-04    0.149961E-05
  9     81       96           -67812.89119      -61059.15703    0.467677E-02    0.487164E-04
  9     82       16           -67812.84558      -61059.11142    0.133541E-03    0.834631E-05
 10      1       96           -68563.19951      -61059.05044    0.757471E-04    0.789032E-06
 10      2      192           -68563.22623      -61059.07716    0.425931E-03    0.221839E-05
 10      3       96           -68563.19852      -61059.04945    0.729181E-04    0.759564E-06
 10      4       96           -68563.19838      -61059.04931    0.725215E-04    0.755432E-06
 10      5       48           -68563.21124      -61059.06217    0.596291E-04    0.124227E-05
 10      6       48           -68563.24170      -61059.09263    0.193723E-03    0.403589E-05
 10      7      192           -68563.19709      -61059.04802    0.137956E-03    0.718523E-06
 10      8       96           -68563.20784      -61059.05877    0.104561E-03    0.108918E-05
 10      9       96           -68563.21364      -61059.06457    0.130870E-03    0.136323E-05
 10     10      192           -68563.25766      -61059.10860    0.143678E-02    0.748322E-05
 10     11       96           -68563.19797      -61059.04890    0.713694E-04    0.743431E-06
 10     12      192           -68563.22825      -61059.07918    0.460564E-03    0.239877E-05
 10     13       96           -68563.24672      -61059.09765    0.470372E-03    0.489971E-05
 10     14      192           -68563.24614      -61059.09707    0.919980E-03    0.479156E-05
 10     15       96           -68563.22693      -61059.07786    0.218828E-03    0.227945E-05
 10     16      192           -68563.22335      -61059.07428    0.381043E-03    0.198460E-05
 10     17      192           -68563.25546      -61059.10640    0.131957E-02    0.687274E-05
 10     18      192           -68563.25561      -61059.10654    0.132678E-02    0.691033E-05
 10     19      192           -68563.25470      -61059.10563    0.128129E-02    0.667338E-05
 10     20      192           -68563.26407      -61059.11500    0.184058E-02    0.958637E-05
 10     21      192           -68563.27507      -61059.12600    0.281707E-02    0.146722E-04
 10     22      192           -68563.27252      -61059.12346    0.255286E-02    0.132961E-04
