
 ____________________________________________________________________________________________
 Temperature: T =    473.00000000000000      K
 Chemical potential: mu =   -750.44611807831780      eV
 Composition: x =   0.31250000000559530     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  7     59       96           -66311.95312      -61058.83029    0.483104E-03    0.503234E-05
  7     60      192           -66311.96400      -61058.84118    0.126188E-02    0.657229E-05
  7     61       96           -66311.96270      -61058.83988    0.611149E-03    0.636613E-05
  7     62       16           -66311.93216      -61058.80934    0.481475E-04    0.300922E-05
  7     63       96           -66311.99363      -61058.87080    0.130506E-02    0.135943E-04
  7     64      192           -66312.02416      -61058.90133    0.552005E-02    0.287502E-04
  7     65      192           -66312.00195      -61058.87912    0.320124E-02    0.166731E-04
  7     66      192           -66312.02133      -61058.89851    0.515092E-02    0.268277E-04
  7     67      192           -66312.01008      -61058.88725    0.390780E-02    0.203531E-04
  7     68       64           -66311.99630      -61058.87348    0.929119E-03    0.145175E-04
  7     69       96           -66312.02607      -61058.90325    0.289286E-02    0.301340E-04
  7     70      192           -66312.01215      -61058.88932    0.411148E-02    0.214140E-04
  7     71      192           -66312.02303      -61058.90020    0.536951E-02    0.279662E-04
  7     72       96           -66311.98848      -61058.86566    0.115032E-02    0.119825E-04
  7     73      192           -66312.02080      -61058.89798    0.508413E-02    0.264798E-04
  7     74       96           -66311.98403      -61058.86120    0.103122E-02    0.107419E-04
  7     75       96           -66312.03621      -61058.91339    0.371013E-02    0.386472E-04
  7     76      192           -66311.98906      -61058.86623    0.233333E-02    0.121528E-04
  7     77       96           -66311.99918      -61058.87635    0.149542E-02    0.155773E-04
  7     78       96           -66311.95201      -61058.82918    0.470068E-03    0.489654E-05
  7     79       96           -66311.97882      -61058.85600    0.907598E-03    0.945414E-05
  7     80       48           -66311.97449      -61058.85166    0.408003E-03    0.850007E-05
  7     81       32           -66312.00074      -61058.87792    0.517985E-03    0.161870E-04
  7     82       16           -66312.07070      -61058.94787    0.144107E-02    0.900666E-04
  8      1       48           -67062.37149      -61058.80254    0.122269E-03    0.254726E-05
  8      2       96           -67062.33935      -61058.77041    0.111160E-03    0.115792E-05
  8      3      192           -67062.38655      -61058.81761    0.707751E-03    0.368620E-05
  8      4      192           -67062.36876      -61058.79981    0.457379E-03    0.238218E-05
  8      5      192           -67062.39867      -61058.82972    0.952766E-03    0.496232E-05
  8      6      192           -67062.39225      -61058.82330    0.813920E-03    0.423916E-05
  8      7       96           -67062.35957      -61058.79062    0.182536E-03    0.190142E-05
  8      8      192           -67062.33768      -61058.76874    0.213385E-03    0.111138E-05
  8      9      192           -67062.35671      -61058.78777    0.340385E-03    0.177284E-05
  8     10       96           -67062.36931      -61058.80036    0.231796E-03    0.241454E-05
  8     11      192           -67062.37592      -61058.80698    0.545306E-03    0.284013E-05
  8     12      192           -67062.37400      -61058.80506    0.520215E-03    0.270945E-05
  8     13       48           -67062.32089      -61058.75194    0.353344E-04    0.736133E-06
  8     14      192           -67062.34967      -61058.78073    0.286370E-03    0.149151E-05
  8     15      192           -67062.34013      -61058.77119    0.226605E-03    0.118023E-05
  8     16      192           -67062.35628      -61058.78733    0.336763E-03    0.175397E-05
  8     17      192           -67062.36970      -61058.80075    0.468073E-03    0.243788E-05
  8     18      192           -67062.36911      -61058.80016    0.461357E-03    0.240290E-05
  8     19       96           -67062.36918      -61058.80024    0.231092E-03    0.240721E-05
  8     20       96           -67062.38028      -61058.81133    0.303405E-03    0.316047E-05
  8     21       96           -67062.35428      -61058.78534    0.160338E-03    0.167019E-05
  8     22      192           -67062.36855      -61058.79960    0.455018E-03    0.236988E-05
  8     23      192           -67062.39009      -61058.82114    0.771929E-03    0.402047E-05
  8     24       96           -67062.37760      -61058.80865    0.284084E-03    0.295921E-05
  8     25       48           -67062.40669      -61058.83775    0.290023E-03    0.604214E-05
  8     26       96           -67062.38834      -61058.81939    0.369726E-03    0.385131E-05
  8     27       12           -67062.33386      -61058.76492    0.121438E-04    0.101198E-05
  8     28       96           -67062.36664      -61058.79770    0.217126E-03    0.226173E-05
  8     29       96           -67062.36557      -61058.79662    0.211469E-03    0.220280E-05
  8     30       96           -67062.38265      -61058.81370    0.321546E-03    0.334944E-05
  8     31      192           -67062.37600      -61058.80706    0.546337E-03    0.284550E-05
  8     32      192           -67062.40881      -61058.83986    0.122188E-02    0.636393E-05
  8     33      192           -67062.39069      -61058.82175    0.783396E-03    0.408019E-05
  8     34      192           -67062.39482      -61058.82587    0.866913E-03    0.451517E-05
  8     35      192           -67062.39888      -61058.82993    0.957711E-03    0.498808E-05
  8     36       48           -67062.38652      -61058.81757    0.176782E-03    0.368295E-05
  8     37       48           -67062.41005      -61058.84111    0.314943E-03    0.656132E-05
  8     38      192           -67062.33684      -61058.76790    0.209053E-03    0.108882E-05
  8     39      192           -67062.34865      -61058.77971    0.279320E-03    0.145479E-05
  8     40      192           -67062.35818      -61058.78924    0.352884E-03    0.183794E-05
  8     41       24           -67062.32830      -61058.75935    0.211890E-04    0.882874E-06
  8     42      192           -67062.35732      -61058.78838    0.345508E-03    0.179952E-05
  8     43       96           -67062.36696      -61058.79801    0.218810E-03    0.227927E-05
