
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.43977067318497      eV
 Composition: x =   0.24999999999485709     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  6     24      192           -65561.57385      -61058.55369    0.326420E-02    0.170010E-04
  6     25      192           -65561.56475      -61058.54459    0.293718E-02    0.152978E-04
  6     26       96           -65561.58096      -61058.56081    0.177262E-02    0.184648E-04
  6     27      192           -65561.56031      -61058.54015    0.278970E-02    0.145297E-04
  6     28       96           -65561.53571      -61058.51556    0.104849E-02    0.109218E-04
  6     29      192           -65561.55869      -61058.53853    0.273766E-02    0.142586E-04
  6     30      192           -65561.55524      -61058.53508    0.263031E-02    0.136995E-04
  6     31      192           -65561.55868      -61058.53852    0.273727E-02    0.142566E-04
  6     32      192           -65561.56461      -61058.54445    0.293237E-02    0.152728E-04
  6     33       48           -65561.50632      -61058.48616    0.372710E-03    0.776478E-05
  6     34      192           -65561.52438      -61058.50422    0.183854E-02    0.957575E-05
  6     35       32           -65561.54198      -61058.52183    0.375875E-03    0.117461E-04
  6     36      192           -65561.51409      -61058.49393    0.163160E-02    0.849794E-05
  6     37       48           -65561.51811      -61058.49795    0.427371E-03    0.890356E-05
  6     38       96           -65561.51989      -61058.49973    0.872580E-03    0.908938E-05
  6     39       96           -65561.51745      -61058.49730    0.848279E-03    0.883624E-05
  6     40       96           -65561.52718      -61058.50702    0.949632E-03    0.989200E-05
  6     41       48           -65561.51654      -61058.49639    0.419684E-03    0.874342E-05
  6     42      192           -65561.54816      -61058.52800    0.242287E-02    0.126191E-04
  6     43       24           -65561.51377      -61058.49361    0.203199E-03    0.846664E-05
  6     44       96           -65561.52518      -61058.50502    0.927835E-03    0.966495E-05
  6     45      192           -65561.54372      -61058.52356    0.230106E-02    0.119847E-04
  6     46      192           -65561.55012      -61058.52996    0.247847E-02    0.129087E-04
  6     47       96           -65561.54490      -61058.52475    0.116648E-02    0.121508E-04
  6     48       96           -65561.55341      -61058.53325    0.128753E-02    0.134118E-04
  6     49       96           -65561.57079      -61058.55063    0.157522E-02    0.164085E-04
  6     50       48           -65561.53532      -61058.51516    0.521842E-03    0.108717E-04
  6     51       96           -65561.57028      -61058.55013    0.156599E-02    0.163124E-04
  6     52      192           -65561.57470      -61058.55454    0.329652E-02    0.171694E-04
  6     53       96           -65561.57929      -61058.55914    0.173859E-02    0.181104E-04
  6     54       48           -65561.57496      -61058.55480    0.826668E-03    0.172222E-04
  6     55      192           -65561.56311      -61058.54295    0.288187E-02    0.150098E-04
  6     56       96           -65561.57904      -61058.55889    0.173356E-02    0.180579E-04
  6     57       16           -65561.54741      -61058.52725    0.200152E-03    0.125095E-04
  6     58       48           -65561.51364      -61058.49348    0.405777E-03    0.845368E-05
  6     59       48           -65561.55833      -61058.53817    0.681553E-03    0.141990E-04
  6     60       96           -65561.60610      -61058.58594    0.237298E-02    0.247186E-04
  6     61      192           -65561.59742      -61058.57726    0.429101E-02    0.223490E-04
  6     62       96           -65561.62828      -61058.60813    0.306967E-02    0.319757E-04
  6     63       96           -65561.60348      -61058.58332    0.230184E-02    0.239775E-04
  6     64       48           -65561.61413      -61058.59397    0.130238E-02    0.271330E-04
  6     65       48           -65561.59121      -61058.57105    0.998164E-03    0.207951E-04
  7      1      192           -66311.94451      -61058.42099    0.699868E-03    0.364514E-05
  7      2       48           -66311.97842      -61058.45491    0.259340E-03    0.540292E-05
  7      3       96           -66311.94963      -61058.42612    0.371377E-03    0.386851E-05
  7      4       96           -66311.91560      -61058.39208    0.250202E-03    0.260627E-05
  7      5       48           -66311.91094      -61058.38742    0.118507E-03    0.246890E-05
  7      6       96           -66311.93192      -61058.40840    0.302371E-03    0.314970E-05
  7      7       96           -66311.96458      -61058.44107    0.441717E-03    0.460122E-05
  7      8      192           -66311.94323      -61058.41972    0.689565E-03    0.359148E-05
  7      9      192           -66311.96152      -61058.43800    0.852594E-03    0.444060E-05
  7     10      192           -66311.97454      -61058.45102    0.991643E-03    0.516481E-05
  7     11      192           -66311.98827      -61058.46475    0.116295E-02    0.605704E-05
  7     12      192           -66311.96920      -61058.44569    0.932112E-03    0.485475E-05
  7     13      192           -66311.97897      -61058.45545    0.104397E-02    0.543733E-05
  7     14      192           -66311.95455      -61058.43103    0.786303E-03    0.409533E-05
  7     15      192           -66311.94879      -61058.42527    0.735497E-03    0.383072E-05
  7     16      192           -66311.97501      -61058.45149    0.997078E-03    0.519311E-05
  7     17      192           -66311.97941      -61058.45589    0.104929E-02    0.546503E-05
  7     18      192           -66311.97931      -61058.45579    0.104803E-02    0.545850E-05
  7     19       96           -66311.98554      -61058.46203    0.563356E-03    0.586829E-05
  7     20       96           -66311.97225      -61058.44874    0.482847E-03    0.502966E-05
  7     21      192           -66311.93300      -61058.40948    0.612355E-03    0.318935E-05
  7     22      192           -66311.95195      -61058.42843    0.762960E-03    0.397375E-05
  7     23       96           -66311.91308      -61058.38956    0.242989E-03    0.253113E-05
  7     24       96           -66311.92432      -61058.40080    0.276846E-03    0.288381E-05
  7     25      192           -66311.93376      -61058.41025    0.617822E-03    0.321782E-05
  7     26      192           -66311.94964      -61058.42612    0.742762E-03    0.386855E-05
  7     27      192           -66311.95674      -61058.43322    0.806589E-03    0.420099E-05
