
 ____________________________________________________________________________________________
 Temperature: T =    473.00000000000000      K
 Chemical potential: mu =   -750.50808041108280      eV
 Composition: x =    6.2500000012477158E-002

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  6     28       96           -65561.53571      -61058.48723    0.469738E-05    0.489310E-07
  6     29      192           -65561.55869      -61058.51021    0.165071E-04    0.859747E-07
  6     30      192           -65561.55524      -61058.50676    0.151686E-04    0.790029E-07
  6     31      192           -65561.55868      -61058.51019    0.165023E-04    0.859494E-07
  6     32      192           -65561.56461      -61058.51613    0.190880E-04    0.994164E-07
  6     33       48           -65561.50632      -61058.45783    0.114178E-05    0.237871E-07
  6     34      192           -65561.52438      -61058.47590    0.711415E-05    0.370529E-07
  6     35       32           -65561.54198      -61058.49350    0.182617E-05    0.570678E-07
  6     36      192           -65561.51409      -61058.46561    0.552693E-05    0.287861E-07
  6     37       48           -65561.51811      -61058.46963    0.152488E-05    0.317683E-07
  6     38       96           -65561.51989      -61058.47141    0.318589E-05    0.331864E-07
  6     39       96           -65561.51745      -61058.46897    0.300121E-05    0.312626E-07
  6     40       96           -65561.52718      -61058.47870    0.381002E-05    0.396877E-07
  6     41       48           -65561.51654      -61058.46806    0.146748E-05    0.305724E-07
  6     42      192           -65561.54816      -61058.49968    0.127502E-04    0.664075E-07
  6     43       24           -65561.51377      -61058.46529    0.685497E-06    0.285624E-07
  6     44       96           -65561.52518      -61058.47670    0.362749E-05    0.377864E-07
  6     45      192           -65561.54372      -61058.49523    0.114329E-04    0.595464E-07
  6     46      192           -65561.55012      -61058.50163    0.133767E-04    0.696702E-07
  6     47       96           -65561.54490      -61058.49642    0.588523E-05    0.613045E-07
  6     48       96           -65561.55341      -61058.50493    0.725148E-05    0.755362E-07
  6     49       96           -65561.57079      -61058.52231    0.111068E-04    0.115695E-06
  6     50       48           -65561.53532      -61058.48684    0.232598E-05    0.484580E-07
  6     51       96           -65561.57028      -61058.52180    0.109697E-04    0.114268E-06
  6     52      192           -65561.57470      -61058.52621    0.244476E-04    0.127331E-06
  6     53       96           -65561.57929      -61058.53081    0.136835E-04    0.142536E-06
  6     54       48           -65561.57496      -61058.52648    0.615176E-05    0.128162E-06
  6     55      192           -65561.56311      -61058.51463    0.183996E-04    0.958314E-07
  6     56       96           -65561.57904      -61058.53056    0.135998E-04    0.141665E-06
  6     57       16           -65561.54741      -61058.49893    0.104310E-05    0.651935E-07
  6     58       48           -65561.51364      -61058.46516    0.136656E-05    0.284700E-07
  6     59       48           -65561.55833      -61058.50984    0.409040E-05    0.852166E-07
  6     60       96           -65561.60610      -61058.55762    0.264127E-04    0.275132E-06
  6     61      192           -65561.59742      -61058.54893    0.426889E-04    0.222338E-06
  6     62       96           -65561.62828      -61058.57980    0.455167E-04    0.474132E-06
  6     63       96           -65561.60348      -61058.55499    0.247665E-04    0.257984E-06
  6     64       48           -65561.61413      -61058.56565    0.160824E-04    0.335051E-06
  6     65       48           -65561.59121      -61058.54272    0.916407E-05    0.190918E-06
  7      1      192           -66311.94451      -61058.38795    0.822278E-06    0.428270E-08
  7      2       48           -66311.97842      -61058.42186    0.472388E-06    0.984142E-08
  7      3       96           -66311.94963      -61058.39307    0.466225E-06    0.485651E-08
  7      4       96           -66311.91560      -61058.35904    0.202286E-06    0.210715E-08
  7      5       48           -66311.91094      -61058.35437    0.902028E-07    0.187923E-08
  7      6       96           -66311.93192      -61058.37536    0.301894E-06    0.314473E-08
  7      7       96           -66311.96458      -61058.40802    0.672751E-06    0.700782E-08
  7      8      192           -66311.94323      -61058.38667    0.796896E-06    0.415050E-08
  7      9      192           -66311.96152      -61058.40496    0.124813E-05    0.650066E-08
  7     10      192           -66311.97454      -61058.41798    0.171781E-05    0.894693E-08
  7     11      192           -66311.98827      -61058.43171    0.240596E-05    0.125310E-07
  7     12      192           -66311.96920      -61058.41264    0.150706E-05    0.784929E-08
  7     13      192           -66311.97897      -61058.42241    0.191508E-05    0.997438E-08
  7     14      192           -66311.95455      -61058.39798    0.105182E-05    0.547822E-08
  7     15      192           -66311.94879      -61058.39223    0.913295E-06    0.475675E-08
  7     16      192           -66311.97501      -61058.41845    0.173778E-05    0.905092E-08
  7     17      192           -66311.97941      -61058.42285    0.193577E-05    0.100821E-07
  7     18      192           -66311.97931      -61058.42274    0.193089E-05    0.100567E-07
  7     19       96           -66311.98554      -61058.42898    0.112510E-05    0.117198E-07
