   x           300.0          873.0         1273.0         1673.0      Infinity
  -663.500  0.684159E-02  0.391787E-02  0.351287E-02  0.331260E-02  0.272557E-02
  -663.400  0.804096E-02  0.473296E-02  0.426595E-02  0.403395E-02  0.334945E-02
  -663.300  0.940916E-02  0.569570E-02  0.516089E-02  0.489397E-02  0.410124E-02
  -663.200  0.109655E-01  0.682984E-02  0.622166E-02  0.591669E-02  0.500490E-02
  -663.100  0.127311E-01  0.816227E-02  0.747561E-02  0.712966E-02  0.608832E-02
  -663.000  0.147286E-01  0.972313E-02  0.895366E-02  0.856415E-02  0.738359E-02
  -662.900  0.169820E-01  0.115458E-01  0.106904E-01  0.102553E-01  0.892730E-02
  -662.800  0.195164E-01  0.136666E-01  0.127238E-01  0.122419E-01  0.107607E-01
  -662.700  0.223574E-01  0.161250E-01  0.150956E-01  0.145669E-01  0.129298E-01
  -662.600  0.255308E-01  0.189626E-01  0.178504E-01  0.172763E-01  0.154853E-01
  -662.500  0.290620E-01  0.222235E-01  0.210359E-01  0.204197E-01  0.184826E-01
  -662.400  0.329757E-01  0.259532E-01  0.247021E-01  0.240496E-01  0.219815E-01
  -662.300  0.372961E-01  0.301991E-01  0.289015E-01  0.282212E-01  0.260462E-01
  -662.200  0.420467E-01  0.350099E-01  0.336890E-01  0.329927E-01  0.307454E-01
  -662.100  0.472512E-01  0.404359E-01  0.391218E-01  0.384249E-01  0.361523E-01
  -662.000  0.529347E-01  0.465302E-01  0.452603E-01  0.445824E-01  0.423454E-01
  -661.900  0.591247E-01  0.533489E-01  0.521688E-01  0.515341E-01  0.494089E-01
  -661.800  0.658532E-01  0.609536E-01  0.599173E-01  0.593548E-01  0.574344E-01
  -661.700  0.731591E-01  0.694125E-01  0.685832E-01  0.681268E-01  0.665222E-01
  -661.600  0.810900E-01  0.788036E-01  0.782532E-01  0.779423E-01  0.767832E-01
  -661.500  0.897046E-01  0.892164E-01  0.890265E-01  0.889055E-01  0.883412E-01
  -661.400  0.990743E-01  0.100755E+00  0.101016E+00  0.101135E+00  0.101334E+00
  -661.300  0.109285E+00  0.113540E+00  0.114352E+00  0.114766E+00  0.115918E+00
  -661.200  0.120435E+00  0.127710E+00  0.129182E+00  0.129952E+00  0.132263E+00
  -661.100  0.132639E+00  0.143420E+00  0.145670E+00  0.146862E+00  0.150559E+00
  -661.000  0.146021E+00  0.160846E+00  0.164001E+00  0.165684E+00  0.171012E+00
  -660.900  0.160714E+00  0.180175E+00  0.184370E+00  0.186620E+00  0.193838E+00
  -660.800  0.176856E+00  0.201607E+00  0.206985E+00  0.209881E+00  0.219264E+00
  -660.700  0.194581E+00  0.225347E+00  0.232059E+00  0.235685E+00  0.247516E+00
  -660.600  0.214018E+00  0.251598E+00  0.259801E+00  0.264242E+00  0.278815E+00
  -660.500  0.235281E+00  0.280550E+00  0.290409E+00  0.295753E+00  0.313367E+00
  -660.400  0.258462E+00  0.312376E+00  0.324058E+00  0.330395E+00  0.351349E+00
  -660.300  0.283626E+00  0.347216E+00  0.360893E+00  0.368314E+00  0.392902E+00
  -660.200  0.310801E+00  0.385170E+00  0.401015E+00  0.409611E+00  0.438122E+00
  -660.100  0.339979E+00  0.426290E+00  0.444476E+00  0.454334E+00  0.487044E+00
  -660.000  0.371104E+00  0.470566E+00  0.491264E+00  0.502470E+00  0.539639E+00
  -659.900  0.404073E+00  0.517921E+00  0.541297E+00  0.553934E+00  0.595804E+00
  -659.800  0.438731E+00  0.568206E+00  0.594421E+00  0.608566E+00  0.655357E+00
  -659.700  0.474870E+00  0.621192E+00  0.650399E+00  0.666125E+00  0.718031E+00
  -659.600  0.512229E+00  0.676569E+00  0.708909E+00  0.726282E+00  0.783478E+00
  -659.500  0.550489E+00  0.733942E+00  0.769545E+00  0.788626E+00  0.851259E+00
  -659.400  0.589284E+00  0.792833E+00  0.831818E+00  0.852660E+00  0.920855E+00
  -659.300  0.628192E+00  0.852686E+00  0.895154E+00  0.917804E+00  0.991667E+00
  -659.200  0.666751E+00  0.912868E+00  0.958908E+00  0.983404E+00  0.106302E+01
  -659.100  0.704458E+00  0.972685E+00  0.102237E+01  0.104874E+01  0.113418E+01
  -659.000  0.740783E+00  0.103139E+01  0.108476E+01  0.111304E+01  0.120436E+01
  -658.900  0.775180E+00  0.108820E+01  0.114530E+01  0.117550E+01  0.127274E+01
  -658.800  0.807105E+00  0.114232E+01  0.120316E+01  0.123529E+01  0.133849E+01
  -658.700  0.836033E+00  0.119297E+01  0.125754E+01  0.129160E+01  0.140078E+01
  -658.600  0.861480E+00  0.123941E+01  0.130768E+01  0.134366E+01  0.145882E+01
  -658.500  0.883023E+00  0.128097E+01  0.135288E+01  0.139077E+01  0.151191E+01
  -658.400  0.900325E+00  0.131707E+01  0.139255E+01  0.143231E+01  0.155941E+01
  -658.300  0.913153E+00  0.134727E+01  0.142621E+01  0.146781E+01  0.160083E+01
  -658.200  0.921392E+00  0.137128E+01  0.145354E+01  0.149693E+01  0.163581E+01
  -658.100  0.925056E+00  0.138896E+01  0.147439E+01  0.151951E+01  0.166415E+01
  -658.000  0.924294E+00  0.140034E+01  0.148877E+01  0.153556E+01  0.168584E+01
  -657.900  0.919383E+00  0.140565E+01  0.149688E+01  0.154524E+01  0.170100E+01
  -657.800  0.910718E+00  0.140526E+01  0.149906E+01  0.154891E+01  0.170995E+01
  -657.700  0.898795E+00  0.139966E+01  0.149582E+01  0.154704E+01  0.171313E+01
  -657.600  0.884185E+00  0.138950E+01  0.148774E+01  0.154023E+01  0.171108E+01
  -657.500  0.867505E+00  0.137546E+01  0.147553E+01  0.152916E+01  0.170443E+01
  -657.400  0.849392E+00  0.135828E+01  0.145991E+01  0.151452E+01  0.169385E+01
  -657.300  0.830471E+00  0.133871E+01  0.144159E+01  0.149706E+01  0.167998E+01
  -657.200  0.811327E+00  0.131743E+01  0.142127E+01  0.147743E+01  0.166347E+01
  -657.100  0.792483E+00  0.129509E+01  0.139957E+01  0.145625E+01  0.164485E+01
  -657.000  0.774378E+00  0.127222E+01  0.137702E+01  0.143404E+01  0.162459E+01
  -656.900  0.757362E+00  0.124927E+01  0.135405E+01  0.141121E+01  0.160304E+01
  -656.800  0.741684E+00  0.122653E+01  0.133094E+01  0.138805E+01  0.158044E+01
  -656.700  0.727497E+00  0.120422E+01  0.130789E+01  0.136474E+01  0.155692E+01
  -656.600  0.714861E+00  0.118241E+01  0.128499E+01  0.134135E+01  0.153251E+01
