
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.41490692939294      eV
 Composition: x =   0.74999999998564248     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  9     27      192           -67812.81861      -61059.08445    0.564573E-03    0.294049E-05
  9     28      192           -67812.83925      -61059.10509    0.125470E-02    0.653491E-05
  9     29      192           -67812.83586      -61059.10170    0.110033E-02    0.573090E-05
  9     30       96           -67812.84881      -61059.11465    0.907878E-03    0.945706E-05
  9     31      192           -67812.84179      -61059.10763    0.138397E-02    0.720818E-05
  9     32      192           -67812.83873      -61059.10457    0.122967E-02    0.640453E-05
  9     33      192           -67812.81791      -61059.08374    0.549406E-03    0.286149E-05
  9     34       96           -67812.75800      -61059.02383    0.270647E-04    0.281924E-06
  9     35       96           -67812.77649      -61059.04233    0.553592E-04    0.576659E-06
  9     36      192           -67812.79496      -61059.06080    0.226205E-03    0.117815E-05
  9     37       96           -67812.78896      -61059.05480    0.896657E-04    0.934017E-06
  9     38      192           -67812.82654      -61059.09238    0.767371E-03    0.399673E-05
  9     39      192           -67812.80576      -61059.07160    0.343453E-03    0.178882E-05
  9     40       96           -67812.80616      -61059.07200    0.174384E-03    0.181650E-05
  9     41      192           -67812.82791      -61059.09375    0.808946E-03    0.421326E-05
  9     42       96           -67812.81007      -61059.07590    0.202850E-03    0.211302E-05
  9     43       96           -67812.84600      -61059.11184    0.814433E-03    0.848368E-05
