
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.40377420609525      eV
 Composition: x =   0.87499999999472156     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  9     28      192           -67812.83925      -61059.20529    0.211528E-03    0.110171E-05
  9     29      192           -67812.83586      -61059.20189    0.185503E-03    0.966163E-06
  9     30       96           -67812.84881      -61059.21484    0.153058E-03    0.159435E-05
  9     31      192           -67812.84179      -61059.20782    0.233321E-03    0.121522E-05
  9     32      192           -67812.83873      -61059.20477    0.207308E-03    0.107973E-05
  9     33      192           -67812.81791      -61059.18394    0.926235E-04    0.482414E-06
  9     34       96           -67812.75800      -61059.12403    0.456280E-05    0.475292E-07
  9     35       96           -67812.77649      -61059.14253    0.933292E-05    0.972180E-07
  9     36      192           -67812.79496      -61059.16100    0.381355E-04    0.198623E-06
  9     37       96           -67812.78896      -61059.15499    0.151166E-04    0.157465E-06
  9     38      192           -67812.82654      -61059.19258    0.129370E-03    0.673802E-06
  9     39      192           -67812.80576      -61059.17179    0.579021E-04    0.301574E-06
  9     40       96           -67812.80616      -61059.17219    0.293991E-04    0.306240E-06
  9     41      192           -67812.82791      -61059.19394    0.136379E-03    0.710307E-06
  9     42       96           -67812.81007      -61059.17610    0.341981E-04    0.356230E-06
  9     43       96           -67812.84600      -61059.21203    0.137304E-03    0.143025E-05
  9     44       96           -67812.80759      -61059.17362    0.310699E-04    0.323645E-06
  9     45      192           -67812.78858      -61059.15462    0.297943E-04    0.155179E-06
  9     46      192           -67812.78535      -61059.15138    0.262899E-04    0.136926E-06
  9     47       96           -67812.80144      -61059.16747    0.244939E-04    0.255145E-06
  9     48      192           -67812.82713      -61059.19316    0.132321E-03    0.689169E-06
  9     49      192           -67812.79552      -61059.16155    0.389586E-04    0.202909E-06
  9     50      192           -67812.83546      -61059.20150    0.182676E-03    0.951440E-06
  9     51      192           -67812.81585      -61059.18188    0.855458E-04    0.445551E-06
  9     52      192           -67812.84622      -61059.21225    0.276955E-03    0.144247E-05
  9     53      192           -67812.85684      -61059.22287    0.417590E-03    0.217495E-05
  9     54       96           -67812.81905      -61059.18508    0.484109E-04    0.504280E-06
  9     55      192           -67812.82744      -61059.19347    0.133912E-03    0.697456E-06
  9     56      192           -67812.84162      -61059.20765    0.231765E-03    0.120711E-05
  9     57      192           -67812.85615      -61059.22219    0.406670E-03    0.211807E-05
  9     58       96           -67812.81278      -61059.17881    0.379791E-04    0.395616E-06
  9     59      192           -67812.86009      -61059.22612    0.473548E-03    0.246640E-05
  9     60      192           -67812.83829      -61059.20432    0.203754E-03    0.106122E-05
  9     61      192           -67812.84829      -61059.21432    0.300043E-03    0.156272E-05
  9     62      192           -67812.80518      -61059.17121    0.566132E-04    0.294860E-06
  9     63      192           -67812.85725      -61059.22328    0.424298E-03    0.220989E-05
  9     64       96           -67812.81455      -61059.18058    0.406768E-04    0.423717E-06
  9     65       96           -67812.79692      -61059.16295    0.205625E-04    0.214192E-06
  9     66      192           -67812.81048      -61059.17652    0.695111E-04    0.362037E-06
  9     67      192           -67812.83063      -61059.19666    0.151522E-03    0.789176E-06
  9     68      192           -67812.82720      -61059.19323    0.132690E-03    0.691091E-06
  9     69       48           -67812.87338      -61059.23942    0.198001E-03    0.412502E-05
  9     70       96           -67812.87207      -61059.23810    0.376289E-03    0.391968E-05
  9     71      192           -67812.88936      -61059.25539    0.146930E-02    0.765262E-05
  9     72       96           -67812.86915      -61059.23518    0.336178E-03    0.350185E-05
  9     73       48           -67812.77518      -61059.14121    0.443417E-05    0.923786E-07
  9     74       96           -67812.80572      -61059.17175    0.289063E-04    0.301107E-06
  9     75       96           -67812.84596      -61059.21199    0.137070E-03    0.142782E-05
  9     76      192           -67812.86070      -61059.22673    0.484817E-03    0.252509E-05
  9     77       96           -67812.85495      -61059.22098    0.194097E-03    0.202185E-05
  9     78       48           -67812.87663      -61059.24266    0.224455E-03    0.467615E-05
  9     79       96           -67812.89835      -61059.26438    0.104022E-02    0.108356E-04
  9     80       32           -67812.80120      -61059.16723    0.809013E-05    0.252817E-06
  9     81       96           -67812.89119      -61059.25722    0.788449E-03    0.821301E-05
  9     82       16           -67812.84558      -61059.21161    0.225135E-04    0.140709E-05
 10      1       96           -68563.19951      -61059.16177    0.196433E-04    0.204618E-06
 10      2      192           -68563.22623      -61059.18849    0.110456E-03    0.575290E-06
 10      3       96           -68563.19852      -61059.16078    0.189097E-04    0.196976E-06
 10      4       96           -68563.19838      -61059.16064    0.188068E-04    0.195905E-06
 10      5       48           -68563.21124      -61059.17350    0.154635E-04    0.322156E-06
 10      6       48           -68563.24170      -61059.20396    0.502376E-04    0.104662E-05
 10      7      192           -68563.19709      -61059.15935    0.357759E-04    0.186333E-06
 10      8       96           -68563.20784      -61059.17010    0.271156E-04    0.282455E-06
 10      9       96           -68563.21364      -61059.17590    0.339382E-04    0.353523E-06
 10     10      192           -68563.25766      -61059.21992    0.372597E-03    0.194061E-05
 10     11       96           -68563.19797      -61059.16023    0.185081E-04    0.192792E-06
 10     12      192           -68563.22825      -61059.19051    0.119437E-03    0.622068E-06
 10     13       96           -68563.24672      -61059.20897    0.121981E-03    0.127063E-05
 10     14      192           -68563.24614      -61059.20840    0.238576E-03    0.124259E-05
 10     15       96           -68563.22693      -61059.18919    0.567481E-04    0.591126E-06
 10     16      192           -68563.22335      -61059.18561    0.988150E-04    0.514662E-06
 10     17      192           -68563.25546      -61059.21772    0.342200E-03    0.178229E-05
 10     18      192           -68563.25561      -61059.21786    0.344072E-03    0.179204E-05
 10     19      192           -68563.25470      -61059.21696    0.332274E-03    0.173059E-05
 10     20      192           -68563.26407      -61059.22633    0.477314E-03    0.248601E-05
 10     21      192           -68563.27507      -61059.23733    0.730544E-03    0.380492E-05
 10     22      192           -68563.27252      -61059.23478    0.662027E-03    0.344806E-05
 10     23      192           -68563.23484      -61059.19709    0.154080E-03    0.802499E-06
 10     24      192           -68563.19848      -61059.16074    0.377580E-04    0.196656E-06
 10     25       96           -68563.19666      -61059.15892    0.175929E-04    0.183259E-06
 10     26       96           -68563.23259      -61059.19485    0.706265E-04    0.735693E-06
 10     27      192           -68563.22735      -61059.18960    0.115319E-03    0.600622E-06
 10     28       64           -68563.25601      -61059.21826    0.116483E-03    0.182005E-05
 10     29      192           -68563.24584      -61059.20810    0.235824E-03    0.122825E-05
 10     30      192           -68563.22906      -61059.19132    0.123220E-03    0.641768E-06
 10     31      192           -68563.24792      -61059.21018    0.255582E-03    0.133116E-05
 10     32      192           -68563.24485      -61059.20711    0.227008E-03    0.118233E-05
 10     33      192           -68563.26372      -61059.22598    0.470914E-03    0.245268E-05
 10     34       96           -68563.22979      -61059.19205    0.633865E-04    0.660276E-06
 10     35       48           -68563.20800      -61059.17026    0.136430E-04    0.284230E-06
 10     36      192           -68563.24395      -61059.20621    0.219224E-03    0.114179E-05
 10     37       48           -68563.20696      -61059.16922    0.131031E-04    0.272981E-06
 10     38      192           -68563.28889      -61059.25114    0.124660E-02    0.649272E-05
 10     39      192           -68563.28843      -61059.25069    0.122504E-02    0.638044E-05
 10     40       96           -68563.29626      -61059.25851    0.828912E-03    0.863450E-05
 10     41       96           -68563.29383      -61059.25609    0.754781E-03    0.786230E-05
 10     42       32           -68563.25704      -61059.21930    0.606138E-04    0.189418E-05
 10     43       16           -68563.27082      -61059.23308    0.516498E-04    0.322811E-05
 10     44       48           -68563.20535      -61059.16761    0.123115E-04    0.256489E-06
 10     45      192           -68563.25355      -61059.21581    0.317780E-03    0.165510E-05
 10     46       48           -68563.24488      -61059.20714    0.568112E-04    0.118357E-05
 10     47      192           -68563.27231      -61059.23456    0.656417E-03    0.341884E-05
 10     48      192           -68563.25558      -61059.21783    0.343660E-03    0.178989E-05
 10     49       48           -68563.21547      -61059.17772    0.182089E-04    0.379352E-06
 10     50       48           -68563.26774      -61059.23000    0.137530E-03    0.286521E-05
 10     51      192           -68563.29441      -61059.25667    0.154369E-02    0.804006E-05
 10     52      192           -68563.30566      -61059.26791    0.238471E-02    0.124203E-04
 10     53       24           -68563.22534      -61059.18760    0.133387E-04    0.555779E-06
 10     54       96           -68563.30286      -61059.26512    0.107012E-02    0.111471E-04
