
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.43926838109940      eV
 Composition: x =   0.25000000003087003     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  8     24       96           -67062.37760      -61058.85777    0.832414E-04    0.867098E-06
  8     25       48           -67062.40669      -61058.88686    0.128263E-03    0.267214E-05
  8     26       96           -67062.38834      -61058.86851    0.126114E-03    0.131369E-05
  8     27       12           -67062.33386      -61058.81403    0.191654E-05    0.159712E-06
  8     28       96           -67062.36664      -61058.84681    0.544863E-04    0.567565E-06
  8     29       96           -67062.36557      -61058.84574    0.522650E-04    0.544427E-06
  8     30       96           -67062.38265      -61058.86282    0.101195E-03    0.105411E-05
  8     31      192           -67062.37600      -61058.85617    0.156510E-03    0.815154E-06
  8     32      192           -67062.40881      -61058.88898    0.556789E-03    0.289994E-05
  8     33      192           -67062.39069      -61058.87086    0.276263E-03    0.143887E-05
  8     34      192           -67062.39482      -61058.87499    0.324105E-03    0.168805E-05
  8     35      192           -67062.39888      -61058.87905    0.379220E-03    0.197510E-05
  8     36       48           -67062.38652      -61058.86669    0.587659E-04    0.122429E-05
  8     37       48           -67062.41005      -61058.89022    0.146065E-03    0.304302E-05
  8     38      192           -67062.33684      -61058.81702    0.344152E-04    0.179246E-06
  8     39      192           -67062.34865      -61058.82883    0.543458E-04    0.283051E-06
  8     40      192           -67062.35818      -61058.83836    0.785680E-04    0.409208E-06
  8     41       24           -67062.32830      -61058.80847    0.309096E-05    0.128790E-06
  8     42      192           -67062.35732      -61058.83749    0.759944E-04    0.395804E-06
  8     43       96           -67062.36696      -61058.84713    0.551542E-04    0.574523E-06
  8     44       96           -67062.37934      -61058.85951    0.890542E-04    0.927647E-06
  8     45       48           -67062.35793      -61058.83811    0.194530E-04    0.405270E-06
  8     46       96           -67062.36611      -61058.84628    0.533703E-04    0.555940E-06
  8     47      192           -67062.37410      -61058.85427    0.145419E-03    0.757393E-06
  8     48      192           -67062.38632      -61058.86649    0.233324E-03    0.121523E-05
  8     49      192           -67062.36835      -61058.84852    0.116429E-03    0.606400E-06
  8     50       48           -67062.36430      -61058.84448    0.248894E-04    0.518529E-06
  8     51       96           -67062.35851      -61058.83868    0.397779E-04    0.414353E-06
  8     52      192           -67062.41745      -61058.89762    0.777683E-03    0.405043E-05
  8     53      192           -67062.39766      -61058.87783    0.361754E-03    0.188413E-05
  8     54      192           -67062.42900      -61058.90917    0.121572E-02    0.633188E-05
  8     55       48           -67062.40622      -61058.88640    0.125957E-03    0.262410E-05
  8     56      192           -67062.41988      -61058.90005    0.854362E-03    0.444980E-05
  8     57      192           -67062.41906      -61058.89923    0.827815E-03    0.431154E-05
  8     58       96           -67062.42897      -61058.90914    0.607250E-03    0.632552E-05
  8     59      192           -67062.42367      -61058.90385    0.989567E-03    0.515399E-05
  8     60      192           -67062.43777      -61058.91795    0.170732E-02    0.889229E-05
  8     61      192           -67062.40146      -61058.88163    0.419035E-03    0.218247E-05
  8     62      192           -67062.43244      -61058.91262    0.138918E-02    0.723530E-05
  8     63      192           -67062.44145      -61058.92163    0.196843E-02    0.102522E-04
  8     64      192           -67062.39707      -61058.87724    0.353577E-03    0.184155E-05
  8     65       96           -67062.40749      -61058.88766    0.264516E-03    0.275538E-05
  8     66      192           -67062.42128      -61058.90145    0.902044E-03    0.469815E-05
  8     67      192           -67062.40120      -61058.88137    0.414874E-03    0.216080E-05
  8     68       96           -67062.35701      -61058.83718    0.375370E-04    0.391011E-06
  8     69       96           -67062.35604      -61058.83621    0.361547E-04    0.376611E-06
  8     70      192           -67062.37643      -61058.85660    0.159116E-03    0.828730E-06
  8     71       96           -67062.37170      -61058.85187    0.662609E-04    0.690218E-06
  8     72       96           -67062.39875      -61058.87893    0.188695E-03    0.196558E-05
  8     73      192           -67062.40666      -61058.88683    0.512357E-03    0.266852E-05
  8     74       96           -67062.41114      -61058.89131    0.304698E-03    0.317394E-05
  8     75       96           -67062.42871      -61058.90888    0.601243E-03    0.626294E-05
  8     76       24           -67062.40570      -61058.88587    0.617099E-04    0.257125E-05
  8     77       96           -67062.36628      -61058.84645    0.537369E-04    0.559760E-06
  8     78       96           -67062.36486      -61058.84504    0.508688E-04    0.529883E-06
  8     79       48           -67062.36441      -61058.84458    0.249916E-04    0.520659E-06
  8     80      192           -67062.39150      -61058.87167    0.285078E-03    0.148478E-05
  8     81      192           -67062.37530      -61058.85547    0.152317E-03    0.793317E-06
  8     82       96           -67062.41244      -61058.89261    0.320326E-03    0.333673E-05
  8     83       96           -67062.39691      -61058.87708    0.175725E-03    0.183047E-05
  8     84      192           -67062.42530      -61058.90547    0.105360E-02    0.548751E-05
  8     85      192           -67062.44172      -61058.92189    0.198848E-02    0.103566E-04
  8     86      192           -67062.41863      -61058.89880    0.814097E-03    0.424009E-05
  8     87       96           -67062.42418      -61058.90435    0.504544E-03    0.525566E-05
  8     88       96           -67062.41311      -61058.89328    0.328749E-03    0.342447E-05
  8     89      192           -67062.44060      -61058.92077    0.190461E-02    0.991984E-05
  8     90       48           -67062.41450      -61058.89467    0.173474E-03    0.361405E-05
  8     91       96           -67062.44096      -61058.92113    0.965584E-03    0.100582E-04
  8     92       48           -67062.47212      -61058.95229    0.161154E-02    0.335738E-04
  8     93       96           -67062.46959      -61058.94976    0.292204E-02    0.304379E-04
  8     94        6           -67062.34545      -61058.82562    0.150005E-05    0.250009E-06
  8     95       24           -67062.40391      -61058.88408    0.575906E-04    0.239961E-05
  8     96       48           -67062.45068      -61058.93086    0.703260E-03    0.146513E-04
  8     97       12           -67062.47861      -61058.95878    0.517775E-03    0.431480E-04
