
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.41543552253393      eV
 Composition: x =   0.75000000000867417     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  6     58       48           -65561.51364      -61059.00816    0.102853E-04    0.214277E-06
  6     59       48           -65561.55833      -61059.05285    0.579328E-04    0.120693E-05
  6     60       96           -65561.60610      -61059.10062    0.735369E-03    0.766009E-05
  6     61      192           -65561.59742      -61059.09194    0.105112E-02    0.547456E-05
  6     62       96           -65561.62828      -61059.12281    0.173445E-02    0.180672E-04
  6     63       96           -65561.60348      -61059.09800    0.664417E-03    0.692101E-05
  6     64       48           -65561.61413      -61059.10866    0.501637E-03    0.104508E-04
  6     65       48           -65561.59121      -61059.08573    0.206665E-03    0.430552E-05
  7      1      192           -66311.94451      -61059.02753    0.870138E-04    0.453197E-06
  7      2       48           -66311.97842      -61059.06144    0.807683E-04    0.168267E-05
  7      3       96           -66311.94963      -61059.03265    0.530462E-04    0.552565E-06
  7      4       96           -66311.91560      -61058.99862    0.142203E-04    0.148128E-06
  7      5       48           -66311.91094      -61058.99395    0.593599E-05    0.123667E-06
  7      6       96           -66311.93192      -61059.01494    0.267345E-04    0.278485E-06
  7      7       96           -66311.96458      -61059.04760    0.945698E-04    0.985102E-06
  7      8      192           -66311.94323      -61059.02625    0.828168E-04    0.431338E-06
  7      9      192           -66311.96152      -61059.04454    0.168013E-03    0.875069E-06
  7     10      192           -66311.97454      -61059.05756    0.278005E-03    0.144794E-05
  7     11      192           -66311.98827      -61059.07129    0.472868E-03    0.246285E-05
  7     12      192           -66311.96920      -61059.05222    0.226167E-03    0.117795E-05
  7     13      192           -66311.97897      -61059.06199    0.329982E-03    0.171866E-05
  7     14      192           -66311.95455      -61059.03756    0.128283E-03    0.668140E-06
  7     15      192           -66311.94879      -61059.03181    0.102677E-03    0.534775E-06
  7     16      192           -66311.97501      -61059.05803    0.283117E-03    0.147457E-05
  7     17      192           -66311.97941      -61059.06243    0.335620E-03    0.174802E-05
  7     18      192           -66311.97931      -61059.06232    0.334286E-03    0.174107E-05
  7     19       96           -66311.98554      -61059.06856    0.212756E-03    0.221621E-05
  7     20       96           -66311.97225      -61059.05527    0.127244E-03    0.132546E-05
  7     21      192           -66311.93300      -61059.01602    0.557458E-04    0.290343E-06
  7     22      192           -66311.95195      -61059.03497    0.116022E-03    0.604282E-06
  7     23       96           -66311.91308      -61058.99610    0.128991E-04    0.134365E-06
  7     24       96           -66311.92432      -61059.00734    0.199250E-04    0.207552E-06
  7     25      192           -66311.93376      -61059.01678    0.574223E-04    0.299074E-06
  7     26      192           -66311.94964      -61059.03266    0.106097E-03    0.552586E-06
  7     27      192           -66311.95674      -61059.03976    0.139651E-03    0.727347E-06
  7     28      192           -66311.94869      -61059.03171    0.102292E-03    0.532772E-06
  7     29       96           -66311.96376      -61059.04678    0.916208E-04    0.954383E-06
  7     30      192           -66311.92504      -61059.00806    0.409723E-04    0.213397E-06
  7     31       96           -66311.92608      -61059.00910    0.213246E-04    0.222131E-06
